Country;name;Admin1;SubDiv;Year;Updates
4025;Bosnia and Herzegovina;;;1985;
4025;Bosnia and Herzegovina;;;1986;
4025;Bosnia and Herzegovina;;;1987;
4025;Bosnia and Herzegovina;;;1988;
4025;Bosnia and Herzegovina;;;1989;
4025;Bosnia and Herzegovina;;;1990;
4025;Bosnia and Herzegovina;;;1991;
4025;Bosnia and Herzegovina;;;2010;
4025;Bosnia and Herzegovina;;;2011;
4025;Bosnia and Herzegovina;;;2012;
4025;Bosnia and Herzegovina;;;2014;
4025;Bosnia and Herzegovina;;;2016;
2070;Brazil;;;1979;
2070;Brazil;;;1980;
2070;Brazil;;;1981;
2070;Brazil;;;1982;
2070;Brazil;;;1983;
2070;Brazil;;;1984;
2070;Brazil;;;1985;
2070;Brazil;;;1986;
2070;Brazil;902;;1986;
2070;Brazil;902;;1987;
2070;Brazil;902;;1988;
2070;Brazil;902;;1989;
2070;Brazil;902;;1990;
2070;Brazil;902;;1991;
2070;Brazil;902;;1992;
2070;Brazil;902;;1993;
2070;Brazil;902;;1994;
2070;Brazil;902;;1995;
2070;Brazil;;;2019;
2085;British Virgin Islands;;;1980;
2085;British Virgin Islands;;;1981;
2085;British Virgin Islands;;;1982;
3030;Brunei Darussalam;;;1995;
3030;Brunei Darussalam;;;2001;
3030;Brunei Darussalam;;;2002;
3030;Brunei Darussalam;;;2003;
3030;Brunei Darussalam;;;2004;
3030;Brunei Darussalam;;;2005;
3030;Brunei Darussalam;;;2006;
3030;Brunei Darussalam;;;2010;
3030;Brunei Darussalam;;;2011;
3030;Brunei Darussalam;;;2012;
3030;Brunei Darussalam;;;2016;
3030;Brunei Darussalam;;;2017;
3030;Brunei Darussalam;;;2018;
4030;Bulgaria;;;1950;
4030;Bulgaria;;;1951;
4030;Bulgaria;;;1952;
4030;Bulgaria;;;1953;
4030;Bulgaria;;;1954;
4030;Bulgaria;;;1955;
4030;Bulgaria;;;1956;
4030;Bulgaria;;;1957;
4030;Bulgaria;;;1958;
4030;Bulgaria;;;1959;
4030;Bulgaria;;;1960;
4030;Bulgaria;;;1961;
4030;Bulgaria;;;1962;
4030;Bulgaria;;;1963;
4030;Bulgaria;;;1964;
4030;Bulgaria;;;1965;
4030;Bulgaria;;;1966;
4030;Bulgaria;;;1967;
4030;Bulgaria;;;1968;
4030;Bulgaria;;;1969;
4030;Bulgaria;;;1970;
4030;Bulgaria;;;1971;
4030;Bulgaria;;;1972;
4030;Bulgaria;;;1973;
4030;Bulgaria;;;1974;
4030;Bulgaria;;;1975;
4030;Bulgaria;;;1976;
4030;Bulgaria;;;1977;
4030;Bulgaria;;;1978;
4030;Bulgaria;;;1979;
4030;Bulgaria;;;1980;
4030;Bulgaria;;;1981;
4030;Bulgaria;;;1982;
4030;Bulgaria;;;1983;
4030;Bulgaria;;;1984;
4030;Bulgaria;;;1985;
4030;Bulgaria;;;1986;
4030;Bulgaria;;;1987;
4030;Bulgaria;;;1988;
4030;Bulgaria;;;1989;
4030;Bulgaria;;;1990;
4030;Bulgaria;;;1991;
4030;Bulgaria;;;1992;
4030;Bulgaria;;;1993;
4030;Bulgaria;;;1994;
4030;Bulgaria;;;1995;
4030;Bulgaria;;;1996;
4030;Bulgaria;;;1997;
4030;Bulgaria;;;1998;
4030;Bulgaria;;;1999;
4030;Bulgaria;;;2000;
4030;Bulgaria;;;2001;
4030;Bulgaria;;;2002;
4030;Bulgaria;;;2003;
4030;Bulgaria;;;2004;
4030;Bulgaria;;;2005;
4030;Bulgaria;;;2006;
4030;Bulgaria;;;2007;
4030;Bulgaria;;;2008;
4030;Bulgaria;;;2009;
4030;Bulgaria;;;2010;
4030;Bulgaria;;;2011;
4030;Bulgaria;;;2012;
4030;Bulgaria;;;2013;
4030;Bulgaria;;;2014;
4030;Bulgaria;;;2015;
4030;Bulgaria;;;2016;
